sequence_summary,representation,weighting,true_label,fea_name,value
mean,standardized,sample_weighted,Anger,LipFunnelerRB,-0.1838644416656927
mean,standardized,sample_weighted,Disgust,LipFunnelerRB,-0.18218618359420732
mean,standardized,sample_weighted,Fear,LipFunnelerRB,-0.18604451065363967
mean,standardized,sample_weighted,Happiness,LipFunnelerRB,-0.2054633677162419
mean,standardized,sample_weighted,Neutral,LipFunnelerRB,-0.20329355757894305
mean,standardized,sample_weighted,Sadness,LipFunnelerRB,0.8116451321001686
mean,standardized,sample_weighted,Surprise,LipFunnelerRB,0.14050923323751446
mean,standardized,sample_weighted,Anger,LipFunnelerRT,-0.03827746217978633
mean,standardized,sample_weighted,Disgust,LipFunnelerRT,-0.2450442248653588
mean,standardized,sample_weighted,Fear,LipFunnelerRT,-0.27860507855045763
mean,standardized,sample_weighted,Happiness,LipFunnelerRT,-0.32338171556262363
mean,standardized,sample_weighted,Neutral,LipFunnelerRT,-0.3260451186075586
mean,standardized,sample_weighted,Sadness,LipFunnelerRT,0.6170612170744717
mean,standardized,sample_weighted,Surprise,LipFunnelerRT,0.5932882669134448
mean,standardized,sample_weighted,Anger,LipPressorL,0.3107869856639969
mean,standardized,sample_weighted,Disgust,LipPressorL,0.42875286922678424
mean,standardized,sample_weighted,Fear,LipPressorL,-0.17673932294668201
mean,standardized,sample_weighted,Happiness,LipPressorL,-0.19335728862096546
mean,standardized,sample_weighted,Neutral,LipPressorL,-0.2005080092816094
mean,standardized,sample_weighted,Sadness,LipPressorL,0.23028908298381834
mean,standardized,sample_weighted,Surprise,LipPressorL,-0.15280820383315044
mean,standardized,sample_weighted,Anger,LipPressorR,0.31712707543361424
mean,standardized,sample_weighted,Disgust,LipPressorR,0.42280262689741877
mean,standardized,sample_weighted,Fear,LipPressorR,-0.17570194308483814
mean,standardized,sample_weighted,Happiness,LipPressorR,-0.15969357978272025
mean,standardized,sample_weighted,Neutral,LipPressorR,-0.199106398623778
mean,standardized,sample_weighted,Sadness,LipPressorR,0.18472194681229362
mean,standardized,sample_weighted,Surprise,LipPressorR,-0.15162637714356145
mean,standardized,sample_weighted,Anger,LipPuckerL,0.589733052856421
mean,standardized,sample_weighted,Disgust,LipPuckerL,0.1421278066721311
mean,standardized,sample_weighted,Fear,LipPuckerL,-0.3588492337066105
mean,standardized,sample_weighted,Happiness,LipPuckerL,-0.3839998569883056
mean,standardized,sample_weighted,Neutral,LipPuckerL,-0.4165156739184698
mean,standardized,sample_weighted,Sadness,LipPuckerL,0.09760053773821971
mean,standardized,sample_weighted,Surprise,LipPuckerL,0.5794701381277299
mean,standardized,sample_weighted,Anger,LipPuckerR,0.5594921863964021
mean,standardized,sample_weighted,Disgust,LipPuckerR,0.12497422645166817
mean,standardized,sample_weighted,Fear,LipPuckerR,-0.36179352948616816
mean,standardized,sample_weighted,Happiness,LipPuckerR,-0.38893379767500735
mean,standardized,sample_weighted,Neutral,LipPuckerR,-0.41633746399692634
mean,standardized,sample_weighted,Sadness,LipPuckerR,0.1345041817349703
mean,standardized,sample_weighted,Surprise,LipPuckerR,0.5869805002794891
mean,standardized,sample_weighted,Anger,LipStretcherL,-0.15082512622049457
mean,standardized,sample_weighted,Disgust,LipStretcherL,0.2684827548485339
mean,standardized,sample_weighted,Fear,LipStretcherL,0.25366844893316004
mean,standardized,sample_weighted,Happiness,LipStretcherL,0.39801865085412624
mean,standardized,sample_weighted,Neutral,LipStretcherL,-0.451926968049656
mean,standardized,sample_weighted,Sadness,LipStretcherL,0.2046012560213676
mean,standardized,sample_weighted,Surprise,LipStretcherL,-0.4084012695171586
mean,standardized,sample_weighted,Anger,LipStretcherR,-0.15668444270573686
mean,standardized,sample_weighted,Disgust,LipStretcherR,0.27896772278163784
mean,standardized,sample_weighted,Fear,LipStretcherR,0.27241397640805737
mean,standardized,sample_weighted,Happiness,LipStretcherR,0.3819300126474025
mean,standardized,sample_weighted,Neutral,LipStretcherR,-0.4593027551183813
mean,standardized,sample_weighted,Sadness,LipStretcherR,0.194915269667342
mean,standardized,sample_weighted,Surprise,LipStretcherR,-0.3934200300103353
mean,standardized,sample_weighted,Anger,LipSuckLB,0.6583049334215343
mean,standardized,sample_weighted,Disgust,LipSuckLB,0.36050817759743425
mean,standardized,sample_weighted,Fear,LipSuckLB,-0.390363552317666
mean,standardized,sample_weighted,Happiness,LipSuckLB,1.0538742783998876
mean,standardized,sample_weighted,Neutral,LipSuckLB,-0.5349862581674808
mean,standardized,sample_weighted,Sadness,LipSuckLB,-0.4147910958500026
mean,standardized,sample_weighted,Surprise,LipSuckLB,-0.5716705129628584
mean,standardized,sample_weighted,Anger,LipSuckLT,0.19623405504310953
mean,standardized,sample_weighted,Disgust,LipSuckLT,0.4406613068111433
mean,standardized,sample_weighted,Fear,LipSuckLT,-0.3998048876214283
mean,standardized,sample_weighted,Happiness,LipSuckLT,1.0684221674774723
mean,standardized,sample_weighted,Neutral,LipSuckLT,-0.48291529555610446
mean,standardized,sample_weighted,Sadness,LipSuckLT,-0.33892929317754467
mean,standardized,sample_weighted,Surprise,LipSuckLT,-0.47392807423193184
mean,standardized,sample_weighted,Anger,LipSuckRB,0.765841047988989
mean,standardized,sample_weighted,Disgust,LipSuckRB,0.43288184786604933
mean,standardized,sample_weighted,Fear,LipSuckRB,-0.39204795427779654
mean,standardized,sample_weighted,Happiness,LipSuckRB,0.8976459332543726
mean,standardized,sample_weighted,Neutral,LipSuckRB,-0.5387930462430001
mean,standardized,sample_weighted,Sadness,LipSuckRB,-0.3624007133722167
mean,standardized,sample_weighted,Surprise,LipSuckRB,-0.5655121982170206
mean,standardized,sample_weighted,Anger,LipSuckRT,0.17747575731345813
mean,standardized,sample_weighted,Disgust,LipSuckRT,0.40348073440625526
mean,standardized,sample_weighted,Fear,LipSuckRT,-0.3893888811693269
mean,standardized,sample_weighted,Happiness,LipSuckRT,1.103415457294869
mean,standardized,sample_weighted,Neutral,LipSuckRT,-0.4669227011735937
mean,standardized,sample_weighted,Sadness,LipSuckRT,-0.3793601974896678
mean,standardized,sample_weighted,Surprise,LipSuckRT,-0.46250290089380713
mean,standardized,sample_weighted,Anger,LipTightenerL,0.5799789053753006
mean,standardized,sample_weighted,Disgust,LipTightenerL,-0.13887670891480816
mean,standardized,sample_weighted,Fear,LipTightenerL,-0.3177571705067643
mean,standardized,sample_weighted,Happiness,LipTightenerL,-0.3475020459877409
mean,standardized,sample_weighted,Neutral,LipTightenerL,-0.35499947668903375
mean,standardized,sample_weighted,Sadness,LipTightenerL,0.5232747409172258
mean,standardized,sample_weighted,Surprise,LipTightenerL,0.2957339055936897
mean,standardized,sample_weighted,Anger,LipTightenerR,0.6044072677720093
mean,standardized,sample_weighted,Disgust,LipTightenerR,-0.14333034606401915
mean,standardized,sample_weighted,Fear,LipTightenerR,-0.30901425767758817
mean,standardized,sample_weighted,Happiness,LipTightenerR,-0.336344216153922
mean,standardized,sample_weighted,Neutral,LipTightenerR,-0.34306668845356564
mean,standardized,sample_weighted,Sadness,LipTightenerR,0.5333682228877318
mean,standardized,sample_weighted,Surprise,LipTightenerR,0.24367893353139622
mean,standardized,sample_weighted,Anger,LipsToward,0.036552701240214695
mean,standardized,sample_weighted,Disgust,LipsToward,0.11548286693191696
mean,standardized,sample_weighted,Fear,LipsToward,-0.08013650817277493
mean,standardized,sample_weighted,Happiness,LipsToward,-0.13374973402057583
mean,standardized,sample_weighted,Neutral,LipsToward,-0.507073927301774
mean,standardized,sample_weighted,Sadness,LipsToward,-0.02927776793923201
mean,standardized,sample_weighted,Surprise,LipsToward,0.6715366952855273
mean,standardized,sample_weighted,Anger,LowerLipDepressorL,-0.25540237969557156
mean,standardized,sample_weighted,Disgust,LowerLipDepressorL,0.17058615941082275
mean,standardized,sample_weighted,Fear,LowerLipDepressorL,0.2518081700752117
mean,standardized,sample_weighted,Happiness,LowerLipDepressorL,0.8182320474154896
mean,standardized,sample_weighted,Neutral,LowerLipDepressorL,-0.39904392575623876
mean,standardized,sample_weighted,Sadness,LowerLipDepressorL,-0.32246989285652317
mean,standardized,sample_weighted,Surprise,LowerLipDepressorL,-0.32439363075703226
mean,standardized,sample_weighted,Anger,LowerLipDepressorR,-0.2579774645624173
mean,standardized,sample_weighted,Disgust,LowerLipDepressorR,0.1691634686998979
mean,standardized,sample_weighted,Fear,LowerLipDepressorR,0.27104292344860065
mean,standardized,sample_weighted,Happiness,LowerLipDepressorR,0.8050093490066857
mean,standardized,sample_weighted,Neutral,LowerLipDepressorR,-0.39956223849516664
mean,standardized,sample_weighted,Sadness,LowerLipDepressorR,-0.3331286176717764
mean,standardized,sample_weighted,Surprise,LowerLipDepressorR,-0.312585454435994
mean,standardized,sample_weighted,Anger,MouthLeft,0.6609272588169789
mean,standardized,sample_weighted,Disgust,MouthLeft,0.7741698704437189
mean,standardized,sample_weighted,Fear,MouthLeft,-0.26618708892828846
mean,standardized,sample_weighted,Happiness,MouthLeft,0.1411883893310332
mean,standardized,sample_weighted,Neutral,MouthLeft,-0.44057684489530774
mean,standardized,sample_weighted,Sadness,MouthLeft,-0.21994638001242703
mean,standardized,sample_weighted,Surprise,MouthLeft,-0.2733129785918348
mean,standardized,sample_weighted,Anger,MouthRight,0.3060675813993489
mean,standardized,sample_weighted,Disgust,MouthRight,0.3004254459564041
mean,standardized,sample_weighted,Fear,MouthRight,-0.15759075039157897
mean,standardized,sample_weighted,Happiness,MouthRight,0.06568421441411301
mean,standardized,sample_weighted,Neutral,MouthRight,-0.2419768939581693
mean,standardized,sample_weighted,Sadness,MouthRight,-0.2326360333622358
mean,standardized,sample_weighted,Surprise,MouthRight,0.09589017073314249
mean,standardized,sample_weighted,Anger,NoseWrinklerL,0.7543711547403211
mean,standardized,sample_weighted,Disgust,NoseWrinklerL,1.4619372927489478
mean,standardized,sample_weighted,Fear,NoseWrinklerL,-0.30293871730781957
mean,standardized,sample_weighted,Happiness,NoseWrinklerL,-0.36633576652572575
mean,standardized,sample_weighted,Neutral,NoseWrinklerL,-0.42132633558398797
mean,standardized,sample_weighted,Sadness,NoseWrinklerL,-0.1325475177153558
mean,standardized,sample_weighted,Surprise,NoseWrinklerL,-0.3737254179630155
mean,standardized,sample_weighted,Anger,NoseWrinklerR,0.7560575987655827
mean,standardized,sample_weighted,Disgust,NoseWrinklerR,1.4569386435100824
mean,standardized,sample_weighted,Fear,NoseWrinklerR,-0.2993530366327117
mean,standardized,sample_weighted,Happiness,NoseWrinklerR,-0.3904543714905159
mean,standardized,sample_weighted,Neutral,NoseWrinklerR,-0.41798652192176133
mean,standardized,sample_weighted,Sadness,NoseWrinklerR,-0.11111195455457192
mean,standardized,sample_weighted,Surprise,NoseWrinklerR,-0.3699484963590507
mean,standardized,sample_weighted,Anger,OuterBrowRaiserL,-0.38185859304013114
mean,standardized,sample_weighted,Disgust,OuterBrowRaiserL,-0.30518010843730875
mean,standardized,sample_weighted,Fear,OuterBrowRaiserL,0.6897532324251674
mean,standardized,sample_weighted,Happiness,OuterBrowRaiserL,-0.25997368681758143
mean,standardized,sample_weighted,Neutral,OuterBrowRaiserL,-0.4196530993210025
mean,standardized,sample_weighted,Sadness,OuterBrowRaiserL,-0.3105536298562333
mean,standardized,sample_weighted,Surprise,OuterBrowRaiserL,0.9414586851469983
mean,standardized,sample_weighted,Anger,OuterBrowRaiserR,-0.3992758975851663
mean,standardized,sample_weighted,Disgust,OuterBrowRaiserR,-0.3032575823865441
mean,standardized,sample_weighted,Fear,OuterBrowRaiserR,0.7139683056788877
mean,standardized,sample_weighted,Happiness,OuterBrowRaiserR,-0.2583055537598917
mean,standardized,sample_weighted,Neutral,OuterBrowRaiserR,-0.4432220983261473
mean,standardized,sample_weighted,Sadness,OuterBrowRaiserR,-0.2900391284897073
mean,standardized,sample_weighted,Surprise,OuterBrowRaiserR,0.938784461206339
mean,standardized,sample_weighted,Anger,UpperLidRaiserL,-0.04389040189224343
mean,standardized,sample_weighted,Disgust,UpperLidRaiserL,-0.20575272883717446
mean,standardized,sample_weighted,Fear,UpperLidRaiserL,0.6751103365855753
mean,standardized,sample_weighted,Happiness,UpperLidRaiserL,-0.22028480289092547
mean,standardized,sample_weighted,Neutral,UpperLidRaiserL,-0.3173524482721534
mean,standardized,sample_weighted,Sadness,UpperLidRaiserL,-0.26940179562385314
mean,standardized,sample_weighted,Surprise,UpperLidRaiserL,0.4785507298033978
mean,standardized,sample_weighted,Anger,UpperLidRaiserR,-0.034671123018654874
mean,standardized,sample_weighted,Disgust,UpperLidRaiserR,-0.25542269875745094
mean,standardized,sample_weighted,Fear,UpperLidRaiserR,0.6939038627876585
mean,standardized,sample_weighted,Happiness,UpperLidRaiserR,-0.2553203145259507
mean,standardized,sample_weighted,Neutral,UpperLidRaiserR,-0.29308081603698144
mean,standardized,sample_weighted,Sadness,UpperLidRaiserR,-0.21913206250457548
mean,standardized,sample_weighted,Surprise,UpperLidRaiserR,0.46383177365027595
mean,standardized,sample_weighted,Anger,UpperLipRaiserL,0.25791341700037346
mean,standardized,sample_weighted,Disgust,UpperLipRaiserL,0.869630718964737
mean,standardized,sample_weighted,Fear,UpperLipRaiserL,-0.1886943263202864
mean,standardized,sample_weighted,Happiness,UpperLipRaiserL,0.8486284056011208
mean,standardized,sample_weighted,Neutral,UpperLipRaiserL,-0.6286993734935177
mean,standardized,sample_weighted,Sadness,UpperLipRaiserL,-0.5508628260599083
mean,standardized,sample_weighted,Surprise,UpperLipRaiserL,-0.4208034839182395
mean,standardized,sample_weighted,Anger,UpperLipRaiserR,0.30178216760115784
mean,standardized,sample_weighted,Disgust,UpperLipRaiserR,0.9100457530309763
mean,standardized,sample_weighted,Fear,UpperLipRaiserR,-0.15880986303336836
mean,standardized,sample_weighted,Happiness,UpperLipRaiserR,0.7614571345781053
mean,standardized,sample_weighted,Neutral,UpperLipRaiserR,-0.6347263021858938
mean,standardized,sample_weighted,Sadness,UpperLipRaiserR,-0.5402431609705257
mean,standardized,sample_weighted,Surprise,UpperLipRaiserR,-0.410671728833522
mean,standardized,participant_balanced,Anger,BrowLowererL,0.9879472656806167
mean,standardized,participant_balanced,Disgust,BrowLowererL,1.0647364520475149
mean,standardized,participant_balanced,Fear,BrowLowererL,-0.34573453061619513
mean,standardized,participant_balanced,Happiness,BrowLowererL,-0.38280518398614477
mean,standardized,participant_balanced,Neutral,BrowLowererL,-0.48784967091641973
mean,standardized,participant_balanced,Sadness,BrowLowererL,0.4127771190364224
mean,standardized,participant_balanced,Surprise,BrowLowererL,-0.4906923657024631
mean,standardized,participant_balanced,Anger,BrowLowererR,1.0002497977549463
mean,standardized,participant_balanced,Disgust,BrowLowererR,1.011470421177575
mean,standardized,participant_balanced,Fear,BrowLowererR,-0.30654671072714884
mean,standardized,participant_balanced,Happiness,BrowLowererR,-0.3889514256182926
mean,standardized,participant_balanced,Neutral,BrowLowererR,-0.4789899554914926
mean,standardized,participant_balanced,Sadness,BrowLowererR,0.37778537480349705
mean,standardized,participant_balanced,Surprise,BrowLowererR,-0.4710606060718019
mean,standardized,participant_balanced,Anger,CheekPuffL,0.2594420963004407
mean,standardized,participant_balanced,Disgust,CheekPuffL,-0.06999423765053356
mean,standardized,participant_balanced,Fear,CheekPuffL,-0.25352377665759146
mean,standardized,participant_balanced,Happiness,CheekPuffL,-0.2878264083633973
mean,standardized,participant_balanced,Neutral,CheekPuffL,-0.2944673249211446
mean,standardized,participant_balanced,Sadness,CheekPuffL,0.5216133985053821
mean,standardized,participant_balanced,Surprise,CheekPuffL,0.0344435035702724
mean,standardized,participant_balanced,Anger,CheekPuffR,0.31284839716816826
mean,standardized,participant_balanced,Disgust,CheekPuffR,-0.09431911915397505
mean,standardized,participant_balanced,Fear,CheekPuffR,-0.28913713943703806
mean,standardized,participant_balanced,Happiness,CheekPuffR,-0.3010537204095096
mean,standardized,participant_balanced,Neutral,CheekPuffR,-0.32183652598647744
mean,standardized,participant_balanced,Sadness,CheekPuffR,0.5242388413360057
mean,standardized,participant_balanced,Surprise,CheekPuffR,0.07281851381644168
mean,standardized,participant_balanced,Anger,CheekRaiserL,0.22293818817008626
mean,standardized,participant_balanced,Disgust,CheekRaiserL,0.6253800357880575
mean,standardized,participant_balanced,Fear,CheekRaiserL,-0.487911107931402
mean,standardized,participant_balanced,Happiness,CheekRaiserL,1.1679474323654446
mean,standardized,participant_balanced,Neutral,CheekRaiserL,-0.5584530817174455
mean,standardized,participant_balanced,Sadness,CheekRaiserL,-0.2317689106105312
mean,standardized,participant_balanced,Surprise,CheekRaiserL,-0.5769804753389509
mean,standardized,participant_balanced,Anger,CheekRaiserR,0.17260759487385155
mean,standardized,participant_balanced,Disgust,CheekRaiserR,0.5597395647146497
mean,standardized,participant_balanced,Fear,CheekRaiserR,-0.47490955944546687
mean,standardized,participant_balanced,Happiness,CheekRaiserR,1.2345272667883413
mean,standardized,participant_balanced,Neutral,CheekRaiserR,-0.5573673716449015
mean,standardized,participant_balanced,Sadness,CheekRaiserR,-0.2629843549588065
mean,standardized,participant_balanced,Surprise,CheekRaiserR,-0.5630839394980023
mean,standardized,participant_balanced,Anger,CheekSuckL,-0.10814176937251878
mean,standardized,participant_balanced,Disgust,CheekSuckL,-0.10172489885923376
mean,standardized,participant_balanced,Fear,CheekSuckL,-0.09950661595905311
mean,standardized,participant_balanced,Happiness,CheekSuckL,-0.10814086675796838
mean,standardized,participant_balanced,Neutral,CheekSuckL,-0.108137927284909
mean,standardized,participant_balanced,Sadness,CheekSuckL,-0.10792828666052275
mean,standardized,participant_balanced,Surprise,CheekSuckL,0.509962340387416
mean,standardized,participant_balanced,Anger,CheekSuckR,-0.10163463380929877
mean,standardized,participant_balanced,Disgust,CheekSuckR,-0.09950841323840397
mean,standardized,participant_balanced,Fear,CheekSuckR,-0.09902030798910053
mean,standardized,participant_balanced,Happiness,CheekSuckR,-0.10162704342387371
mean,standardized,participant_balanced,Neutral,CheekSuckR,-0.10185346678080483
mean,standardized,participant_balanced,Sadness,CheekSuckR,-0.10151434040449635
mean,standardized,participant_balanced,Surprise,CheekSuckR,0.4729559413451125
mean,standardized,participant_balanced,Anger,ChinRaiserB,0.7582752637150159
mean,standardized,participant_balanced,Disgust,ChinRaiserB,0.5414791022491086
mean,standardized,participant_balanced,Fear,ChinRaiserB,-0.487489254855737
mean,standardized,participant_balanced,Happiness,ChinRaiserB,-0.41761900615894015
mean,standardized,participant_balanced,Neutral,ChinRaiserB,-0.5737303252606085
mean,standardized,participant_balanced,Sadness,ChinRaiserB,1.2767059409053922
mean,standardized,participant_balanced,Surprise,ChinRaiserB,-0.5164425259678088
mean,standardized,participant_balanced,Anger,ChinRaiserT,0.7103548536917712
mean,standardized,participant_balanced,Disgust,ChinRaiserT,0.6787498943362638
mean,standardized,participant_balanced,Fear,ChinRaiserT,-0.46964288340508853
mean,standardized,participant_balanced,Happiness,ChinRaiserT,-0.2164480625657419
mean,standardized,participant_balanced,Neutral,ChinRaiserT,-0.7377159637978896
mean,standardized,participant_balanced,Sadness,ChinRaiserT,1.0841789061151887
mean,standardized,participant_balanced,Surprise,ChinRaiserT,-0.5188035278104007
mean,standardized,participant_balanced,Anger,DimplerL,-0.25874912893332896
mean,standardized,participant_balanced,Disgust,DimplerL,-0.1323811602803666
mean,standardized,participant_balanced,Fear,DimplerL,-0.1647706526966778
mean,standardized,participant_balanced,Happiness,DimplerL,1.5070065626979765
mean,standardized,participant_balanced,Neutral,DimplerL,-0.45004860596109325
mean,standardized,participant_balanced,Sadness,DimplerL,-0.4645795277914177
mean,standardized,participant_balanced,Surprise,DimplerL,-0.34344536820416405
mean,standardized,participant_balanced,Anger,DimplerR,-0.26417896457161777
mean,standardized,participant_balanced,Disgust,DimplerR,-0.13718602123776
mean,standardized,participant_balanced,Fear,DimplerR,-0.14884535496010565
mean,standardized,participant_balanced,Happiness,DimplerR,1.5336609166851614
mean,standardized,participant_balanced,Neutral,DimplerR,-0.46597741342485655
mean,standardized,participant_balanced,Sadness,DimplerR,-0.478125700573371
mean,standardized,participant_balanced,Surprise,DimplerR,-0.346191524345701
mean,standardized,participant_balanced,Anger,EyesClosedL,0.3537310328855977
mean,standardized,participant_balanced,Disgust,EyesClosedL,0.9466959141604825
mean,standardized,participant_balanced,Fear,EyesClosedL,-0.2577281431917164
mean,standardized,participant_balanced,Happiness,EyesClosedL,-0.2030463390411516
mean,standardized,participant_balanced,Neutral,EyesClosedL,-0.2877911018561352
mean,standardized,participant_balanced,Sadness,EyesClosedL,0.39182397357875565
mean,standardized,participant_balanced,Surprise,EyesClosedL,-0.22663923162894184
mean,standardized,participant_balanced,Anger,EyesClosedR,0.37365833501158713
mean,standardized,participant_balanced,Disgust,EyesClosedR,0.9644515146478982
mean,standardized,participant_balanced,Fear,EyesClosedR,-0.2992174906879179
mean,standardized,participant_balanced,Happiness,EyesClosedR,-0.17935595501467808
mean,standardized,participant_balanced,Neutral,EyesClosedR,-0.30117640546092117
mean,standardized,participant_balanced,Sadness,EyesClosedR,0.4750521942436586
mean,standardized,participant_balanced,Surprise,EyesClosedR,-0.23981685285179596
mean,standardized,participant_balanced,Anger,EyesLookDownL,0.5287505231345201
mean,standardized,participant_balanced,Disgust,EyesLookDownL,0.7875569513090868
mean,standardized,participant_balanced,Fear,EyesLookDownL,-0.35335160451807945
mean,standardized,participant_balanced,Happiness,EyesLookDownL,-0.04278312932705553
mean,standardized,participant_balanced,Neutral,EyesLookDownL,-0.3225024060319232
mean,standardized,participant_balanced,Sadness,EyesLookDownL,0.26836806175728417
mean,standardized,participant_balanced,Surprise,EyesLookDownL,-0.30755601362038854
mean,standardized,participant_balanced,Anger,EyesLookDownR,0.5076529841988577
mean,standardized,participant_balanced,Disgust,EyesLookDownR,0.7112144176448697
mean,standardized,participant_balanced,Fear,EyesLookDownR,-0.3835932869533329
mean,standardized,participant_balanced,Happiness,EyesLookDownR,-0.027642737159326566
mean,standardized,participant_balanced,Neutral,EyesLookDownR,-0.332782193169947
mean,standardized,participant_balanced,Sadness,EyesLookDownR,0.34530416250861695
mean,standardized,participant_balanced,Surprise,EyesLookDownR,-0.32240669067541555
mean,standardized,participant_balanced,Anger,EyesLookLeftL,-0.0016968479809284262
mean,standardized,participant_balanced,Disgust,EyesLookLeftL,-0.00877338354520172
mean,standardized,participant_balanced,Fear,EyesLookLeftL,0.05737036486338587
mean,standardized,participant_balanced,Happiness,EyesLookLeftL,-0.006762986881486478
mean,standardized,participant_balanced,Neutral,EyesLookLeftL,0.06671513072768603
mean,standardized,participant_balanced,Sadness,EyesLookLeftL,-0.03510358358720307
mean,standardized,participant_balanced,Surprise,EyesLookLeftL,0.005858064387398336
mean,standardized,participant_balanced,Anger,EyesLookLeftR,0.018236339385935087
mean,standardized,participant_balanced,Disgust,EyesLookLeftR,-0.015995818155366198
mean,standardized,participant_balanced,Fear,EyesLookLeftR,0.06129693466799588
mean,standardized,participant_balanced,Happiness,EyesLookLeftR,-0.009904546858915987
mean,standardized,participant_balanced,Neutral,EyesLookLeftR,0.058958936697148974
mean,standardized,participant_balanced,Sadness,EyesLookLeftR,-0.03102925429518083
mean,standardized,participant_balanced,Surprise,EyesLookLeftR,0.007578594262784332
mean,standardized,participant_balanced,Anger,EyesLookRightL,-0.09625725108635705
mean,standardized,participant_balanced,Disgust,EyesLookRightL,-0.020762754617188215
mean,standardized,participant_balanced,Fear,EyesLookRightL,-0.028893013422559642
mean,standardized,participant_balanced,Happiness,EyesLookRightL,0.028135973985125344
mean,standardized,participant_balanced,Neutral,EyesLookRightL,-0.07045365340450778
mean,standardized,participant_balanced,Sadness,EyesLookRightL,-0.010807817930037758
mean,standardized,participant_balanced,Surprise,EyesLookRightL,0.02308130344945038
mean,standardized,participant_balanced,Anger,EyesLookRightR,-0.09866600652315267
mean,standardized,participant_balanced,Disgust,EyesLookRightR,-0.040156571776261564
mean,standardized,participant_balanced,Fear,EyesLookRightR,-0.01607979474726064
mean,standardized,participant_balanced,Happiness,EyesLookRightR,0.03003637075340086
mean,standardized,participant_balanced,Neutral,EyesLookRightR,-0.08113010681018037
mean,standardized,participant_balanced,Sadness,EyesLookRightR,-0.02256605888324611
mean,standardized,participant_balanced,Surprise,EyesLookRightR,0.033210146436406636
mean,standardized,participant_balanced,Anger,EyesLookUpL,0.23326426683987705
mean,standardized,participant_balanced,Disgust,EyesLookUpL,-0.07581289547746997
mean,standardized,participant_balanced,Fear,EyesLookUpL,-0.11717016982655254
mean,standardized,participant_balanced,Happiness,EyesLookUpL,0.08508947510856704
mean,standardized,participant_balanced,Neutral,EyesLookUpL,0.07966096150924663
mean,standardized,participant_balanced,Sadness,EyesLookUpL,-0.11939208690081897
mean,standardized,participant_balanced,Surprise,EyesLookUpL,-0.1383036287856667
mean,standardized,participant_balanced,Anger,EyesLookUpR,0.23360004080223565
mean,standardized,participant_balanced,Disgust,EyesLookUpR,-0.07606215854119827
mean,standardized,participant_balanced,Fear,EyesLookUpR,-0.11788769373684391
mean,standardized,participant_balanced,Happiness,EyesLookUpR,0.08548761006438227
mean,standardized,participant_balanced,Neutral,EyesLookUpR,0.07980468945711021
mean,standardized,participant_balanced,Sadness,EyesLookUpR,-0.12007869415666146
mean,standardized,participant_balanced,Surprise,EyesLookUpR,-0.138198241188563
mean,standardized,participant_balanced,Anger,InnerBrowRaiserL,-0.12583710367359535
mean,standardized,participant_balanced,Disgust,InnerBrowRaiserL,-0.12303452851116724
mean,standardized,participant_balanced,Fear,InnerBrowRaiserL,0.4810438245090889
mean,standardized,participant_balanced,Happiness,InnerBrowRaiserL,-0.3632178049891934
mean,standardized,participant_balanced,Neutral,InnerBrowRaiserL,-0.5272693639863424
mean,standardized,participant_balanced,Sadness,InnerBrowRaiserL,0.0503080785929583
mean,standardized,participant_balanced,Surprise,InnerBrowRaiserL,0.7966269439538837
mean,standardized,participant_balanced,Anger,InnerBrowRaiserR,-0.1865290048562632
mean,standardized,participant_balanced,Disgust,InnerBrowRaiserR,-0.1772879824494461
mean,standardized,participant_balanced,Fear,InnerBrowRaiserR,0.5256699237465421
mean,standardized,participant_balanced,Happiness,InnerBrowRaiserR,-0.33538985033732704
mean,standardized,participant_balanced,Neutral,InnerBrowRaiserR,-0.5195428015986612
mean,standardized,participant_balanced,Sadness,InnerBrowRaiserR,0.02063662292274622
mean,standardized,participant_balanced,Surprise,InnerBrowRaiserR,0.8112310359579245
mean,standardized,participant_balanced,Anger,JawDrop,-0.4938541175502549
mean,standardized,participant_balanced,Disgust,JawDrop,-0.19232596354837692
mean,standardized,participant_balanced,Fear,JawDrop,0.37740556132833636
mean,standardized,participant_balanced,Happiness,JawDrop,-0.16814923223762968
mean,standardized,participant_balanced,Neutral,JawDrop,-0.6233690679643353
mean,standardized,participant_balanced,Sadness,JawDrop,-0.49922776513885747
mean,standardized,participant_balanced,Surprise,JawDrop,1.3707498104537834
mean,standardized,participant_balanced,Anger,JawSidewaysLeft,0.21379300911707558
mean,standardized,participant_balanced,Disgust,JawSidewaysLeft,-0.0002980428133630635
mean,standardized,participant_balanced,Fear,JawSidewaysLeft,-0.3190742239849035
mean,standardized,participant_balanced,Happiness,JawSidewaysLeft,-0.38833544242442175
mean,standardized,participant_balanced,Neutral,JawSidewaysLeft,-0.4160160448541926
mean,standardized,participant_balanced,Sadness,JawSidewaysLeft,0.5418080189094643
mean,standardized,participant_balanced,Surprise,JawSidewaysLeft,0.29252181467116517
mean,standardized,participant_balanced,Anger,JawSidewaysRight,0.1786670573437554
mean,standardized,participant_balanced,Disgust,JawSidewaysRight,-0.0694837696378308
mean,standardized,participant_balanced,Fear,JawSidewaysRight,-0.2981226393762974
mean,standardized,participant_balanced,Happiness,JawSidewaysRight,-0.1596074657843494
mean,standardized,participant_balanced,Neutral,JawSidewaysRight,-0.46432557007515984
