sequence_id,sequence_timestamp,set_id,participant_id,level_id,emoji_id,true_class,final_predicted_class,correct_first,correct_final,ever_correct,first_correct_prefix,correct_through_final_from,label_switches,true_probability_first,true_probability_final,final_confidence
1700584242638-2-13-4-23-2,1700584242638,2,13,4,23,Fear,Fear,True,True,True,1.0,1.0,0,0.24898407,0.8262652,0.8262652
1700584244435-2-13-4-24-3,1700584244435,2,13,4,24,Happiness,Happiness,False,True,True,4.0,4.0,1,0.15565112,0.99953794,0.99953794
1700584249628-2-13-4-27-6,1700584249628,2,13,4,27,Surprise,Surprise,False,True,True,23.0,23.0,1,0.11577423,0.7272692,0.7272692
1700747144334-2-15-1-0-0,1700747144334,2,15,1,0,Anger,Disgust,False,False,True,20.0,,2,0.092784256,0.34087974,0.65795547
1700747147435-2-15-1-1-5,1700747147435,2,15,1,1,Sadness,Sadness,True,True,True,1.0,1.0,0,0.40987238,0.9981604,0.9981604
1700747149418-2-15-1-2-3,1700747149418,2,15,1,2,Happiness,Happiness,False,True,True,13.0,13.0,1,0.113558166,0.99915385,0.99915385
1700747151558-2-15-1-3-0,1700747151558,2,15,1,3,Anger,Anger,False,True,True,29.0,29.0,1,0.07684052,0.6722059,0.6722059
1700747153913-2-15-1-4-0,1700747153913,2,15,1,4,Anger,Disgust,False,False,True,28.0,,2,0.08348148,0.4185694,0.57919866
1700747157106-2-15-1-5-5,1700747157106,2,15,1,5,Sadness,Sadness,False,True,True,9.0,9.0,1,0.09399675,0.998086,0.998086
1700747159259-2-15-1-6-3,1700747159259,2,15,1,6,Happiness,Happiness,False,True,True,22.0,22.0,1,0.14492488,0.99804366,0.99804366
1700747164257-2-15-1-8-3,1700747164257,2,15,1,8,Happiness,Happiness,True,True,True,1.0,19.0,2,0.21533656,0.9991209,0.9991209
1700747228293-2-15-2-0-4,1700747228293,2,15,2,0,Neutral,Neutral,True,True,True,1.0,1.0,0,0.32413882,0.98743975,0.98743975
1700747230387-2-15-2-1-1,1700747230387,2,15,2,1,Disgust,Happiness,False,False,False,,,1,0.08815411,0.0030196188,0.9955686
1700747233836-2-15-2-2-6,1700747233836,2,15,2,2,Surprise,Disgust,False,False,False,,,1,0.061080612,0.07307208,0.47612032
1700747235785-2-15-2-3-2,1700747235785,2,15,2,3,Fear,Surprise,False,False,True,27.0,,2,0.10295679,0.38513592,0.58299494
1700747237919-2-15-2-4-1,1700747237919,2,15,2,4,Disgust,Disgust,False,True,True,28.0,28.0,1,0.0875019,0.74999636,0.74999636
1700747240521-2-15-2-5-1,1700747240521,2,15,2,5,Disgust,Happiness,False,False,False,,,1,0.18669726,0.010601843,0.9793187
1700747244029-2-15-2-6-2,1700747244029,2,15,2,6,Fear,Disgust,False,False,False,,,2,0.17104189,0.004419818,0.85917497
1700747244934-2-15-2-7-4,1700747244934,2,15,2,7,Neutral,Neutral,True,True,True,1.0,17.0,2,0.23353429,0.98639005,0.98639005
1700747248666-2-15-2-8-6,1700747248666,2,15,2,8,Surprise,Surprise,False,True,True,2.0,2.0,1,0.17735799,0.95531887,0.95531887
1700747250542-2-15-2-9-6,1700747250542,2,15,2,9,Surprise,Surprise,False,True,True,29.0,29.0,2,0.07434412,0.50203395,0.50203395
1700747253760-2-15-2-10-2,1700747253760,2,15,2,10,Fear,Disgust,False,False,False,,,1,0.13504723,0.058194056,0.5653209
1700747345899-2-15-3-0-4,1700747345899,2,15,3,0,Neutral,Neutral,True,True,True,1.0,1.0,0,0.3359578,0.98790425,0.98790425
1700747349332-2-15-3-1-1,1700747349332,2,15,3,1,Disgust,Happiness,False,False,False,,,0,0.07180191,0.00068412605,0.99851185
1700747349900-2-15-3-2-0,1700747349900,2,15,3,2,Anger,Disgust,False,False,False,,,0,0.14522293,0.12506634,0.8745672
1700747352492-2-15-3-3-6,1700747352492,2,15,3,3,Surprise,Surprise,False,True,True,11.0,11.0,1,0.13436371,0.99351776,0.99351776
1700747359928-2-15-3-7-5,1700747359928,2,15,3,7,Sadness,Sadness,False,True,True,17.0,17.0,4,0.09809893,0.9981839,0.9981839
1700747368098-2-15-3-11-3,1700747368098,2,15,3,11,Happiness,Happiness,False,True,True,15.0,15.0,2,0.21386713,0.998406,0.998406
1700747372332-2-15-3-13-6,1700747372332,2,15,3,13,Surprise,Surprise,False,True,True,16.0,16.0,1,0.11207251,0.7287243,0.7287243
1700747374991-2-15-3-14-4,1700747374991,2,15,3,14,Neutral,Neutral,True,True,True,1.0,1.0,0,0.31384733,0.9412925,0.9412925
1700747376723-2-15-3-15-5,1700747376723,2,15,3,15,Sadness,Sadness,True,True,True,1.0,1.0,0,0.4573031,0.99787474,0.99787474
1700747378458-2-15-3-16-2,1700747378458,2,15,3,16,Fear,Neutral,True,False,True,1.0,,3,0.1781023,0.05017338,0.9427668
1700747380059-2-15-3-17-3,1700747380059,2,15,3,17,Happiness,Happiness,False,True,True,12.0,12.0,1,0.08724812,0.99950707,0.99950707
1700747382885-2-15-3-18-1,1700747382885,2,15,3,18,Disgust,Happiness,False,False,False,,,0,0.055525806,0.00013823126,0.9997291
1700747384624-2-15-3-19-6,1700747384624,2,15,3,19,Surprise,Fear,True,False,True,1.0,,1,0.3929346,0.10810901,0.88012606
1700747386351-2-15-3-20-2,1700747386351,2,15,3,20,Fear,Neutral,True,False,True,1.0,,1,0.29932818,0.027657118,0.9676
1700747514980-2-15-4-1-5,1700747514980,2,15,4,1,Sadness,Sadness,False,True,True,13.0,13.0,2,0.007231151,0.99636406,0.99636406
1700747516587-2-15-4-2-4,1700747516587,2,15,4,2,Neutral,Neutral,True,True,True,1.0,1.0,0,0.17805332,0.9876702,0.9876702
1700747522488-2-15-4-5-4,1700747522488,2,15,4,5,Neutral,Neutral,True,True,True,1.0,1.0,0,0.31453174,0.97822684,0.97822684
1700747523299-2-15-4-6-3,1700747523299,2,15,4,6,Happiness,Happiness,True,True,True,1.0,1.0,0,0.8709926,0.99974424,0.99974424
1700747526081-2-15-4-7-0,1700747526081,2,15,4,7,Anger,Anger,False,True,True,16.0,16.0,1,0.16683085,0.75260407,0.75260407
1700747527030-2-15-4-8-5,1700747527030,2,15,4,8,Sadness,Sadness,False,True,True,2.0,2.0,1,0.10377387,0.9973616,0.9973616
1700747528937-2-15-4-9-2,1700747528937,2,15,4,9,Fear,Neutral,False,False,False,,,0,0.21326153,0.010339363,0.96423376
1700747534547-2-15-4-12-1,1700747534547,2,15,4,12,Disgust,Happiness,False,False,False,,,0,0.25281748,0.014388951,0.97977316
1700747535828-2-15-4-13-3,1700747535828,2,15,4,13,Happiness,Happiness,True,True,True,1.0,1.0,0,0.6389946,0.9921748,0.9921748
1700747538056-2-15-4-14-0,1700747538056,2,15,4,14,Anger,Disgust,False,False,True,4.0,,2,0.13877,0.34757626,0.65155727
1700747543178-2-15-4-17-5,1700747543178,2,15,4,17,Sadness,Sadness,False,True,True,5.0,5.0,1,0.11475793,0.9967679,0.9967679
1700747545324-2-15-4-18-4,1700747545324,2,15,4,18,Neutral,Neutral,True,True,True,1.0,1.0,0,0.27878696,0.9813654,0.9813654
1700747550545-2-15-4-21-6,1700747550545,2,15,4,21,Surprise,Surprise,False,True,True,5.0,5.0,2,0.11336753,0.95908606,0.95908606
1700747556782-2-15-4-25-2,1700747556782,2,15,4,25,Fear,Neutral,False,False,True,4.0,,2,0.17581157,0.011049817,0.98271376
1700747558772-2-15-4-26-1,1700747558772,2,15,4,26,Disgust,Disgust,False,True,True,21.0,21.0,3,0.08565448,0.993361,0.993361
1700756274306-2-18-1-0-0,1700756274306,2,18,1,0,Anger,Anger,True,True,True,1.0,1.0,0,0.58465207,0.9092298,0.9092298
1700756276004-2-18-1-1-5,1700756276004,2,18,1,1,Sadness,Sadness,False,True,True,18.0,18.0,2,0.1050101,0.99857914,0.99857914
1700756278030-2-18-1-2-3,1700756278030,2,18,1,2,Happiness,Happiness,False,True,True,16.0,16.0,1,0.07907378,0.9992322,0.9992322
1700756280474-2-18-1-3-0,1700756280474,2,18,1,3,Anger,Anger,True,True,True,1.0,1.0,0,0.41983512,0.9791245,0.9791245
1700756283788-2-18-1-4-0,1700756283788,2,18,1,4,Anger,Anger,False,True,True,3.0,3.0,1,0.14757335,0.94811356,0.94811356
1700756285404-2-18-1-5-5,1700756285404,2,18,1,5,Sadness,Sadness,False,True,True,11.0,11.0,1,0.10319885,0.9982243,0.9982243
1700756292963-2-18-1-8-3,1700756292963,2,18,1,8,Happiness,Happiness,False,True,True,16.0,16.0,1,0.08565208,0.99965215,0.99965215
1700756363513-2-18-2-1-1,1700756363513,2,18,2,1,Disgust,Disgust,False,True,True,25.0,25.0,1,0.23028539,0.7189578,0.7189578
1700756365257-2-18-2-2-6,1700756365257,2,18,2,2,Surprise,Surprise,False,True,True,10.0,10.0,2,0.121333785,0.965661,0.965661
1700756370115-2-18-2-4-1,1700756370115,2,18,2,4,Disgust,Disgust,False,True,True,21.0,21.0,2,0.18393016,0.9915439,0.9915439
1700756373040-2-18-2-5-1,1700756373040,2,18,2,5,Disgust,Disgust,False,True,True,8.0,8.0,1,0.11319939,0.8265476,0.8265476
1700756380628-2-18-2-8-6,1700756380628,2,18,2,8,Surprise,Surprise,False,True,True,15.0,15.0,2,0.12410246,0.68898404,0.68898404
1700756382762-2-18-2-9-6,1700756382762,2,18,2,9,Surprise,Surprise,False,True,True,23.0,23.0,2,0.120862424,0.8288165,0.8288165
1700756481968-2-18-3-0-4,1700756481968,2,18,3,0,Neutral,Neutral,True,True,True,1.0,1.0,0,0.3383165,0.9843045,0.9843045
1700756486528-2-18-3-2-0,1700756486528,2,18,3,2,Anger,Anger,False,True,True,11.0,11.0,3,0.09641824,0.97824836,0.97824836
1700756490593-2-18-3-4-3,1700756490593,2,18,3,4,Happiness,Happiness,False,True,True,6.0,6.0,1,0.09004335,0.99965525,0.99965525
1700756494467-2-18-3-6-5,1700756494467,2,18,3,6,Sadness,Sadness,False,True,True,5.0,5.0,1,0.10358476,0.7231868,0.7231868
1700756499157-2-18-3-8-0,1700756499157,2,18,3,8,Anger,Anger,True,True,True,1.0,1.0,0,0.7025832,0.83712304,0.83712304
1700756505088-2-18-3-11-3,1700756505088,2,18,3,11,Happiness,Happiness,True,True,True,1.0,1.0,0,0.8847017,0.9994161,0.9994161
1700756506384-2-18-3-12-4,1700756506384,2,18,3,12,Neutral,Neutral,True,True,True,1.0,1.0,0,0.34429678,0.9876875,0.9876875
1700756508190-2-18-3-13-6,1700756508190,2,18,3,13,Surprise,Surprise,False,True,True,10.0,10.0,2,0.12040477,0.8755778,0.8755778
1700756511419-2-18-3-14-4,1700756511419,2,18,3,14,Neutral,Neutral,True,True,True,1.0,1.0,0,0.3428001,0.97617996,0.97617996
1700756512745-2-18-3-15-5,1700756512745,2,18,3,15,Sadness,Sadness,False,True,True,3.0,3.0,1,0.3729052,0.96431863,0.96431863
1700756516990-2-18-3-17-3,1700756516990,2,18,3,17,Happiness,Happiness,False,True,True,10.0,10.0,1,0.08901686,0.99971014,0.99971014
1700756520318-2-18-3-19-6,1700756520318,2,18,3,19,Surprise,Surprise,False,True,True,6.0,6.0,2,0.12227515,0.83682287,0.83682287
1700756706103-2-18-4-1-5,1700756706103,2,18,4,1,Sadness,Sadness,True,True,True,1.0,19.0,2,0.5436409,0.9867405,0.9867405
1700756707997-2-18-4-2-4,1700756707997,2,18,4,2,Neutral,Neutral,True,True,True,1.0,1.0,0,0.32475966,0.99320716,0.99320716
1700756711213-2-18-4-4-4,1700756711213,2,18,4,4,Neutral,Neutral,True,True,True,1.0,1.0,0,0.33051813,0.9889625,0.9889625
1700756713736-2-18-4-5-4,1700756713736,2,18,4,5,Neutral,Neutral,True,True,True,1.0,1.0,0,0.3423427,0.9927583,0.9927583
1700756716598-2-18-4-7-0,1700756716598,2,18,4,7,Anger,Anger,False,True,True,8.0,8.0,1,0.08255285,0.9808966,0.9808966
1700756719177-2-18-4-8-5,1700756719177,2,18,4,8,Sadness,Sadness,True,True,True,1.0,1.0,0,0.5422993,0.99625105,0.99625105
1700756720027-2-18-4-9-2,1700756720027,2,18,4,9,Fear,Fear,False,True,True,16.0,20.0,4,0.041229874,0.76705146,0.76705146
1700756722474-2-18-4-10-0,1700756722474,2,18,4,10,Anger,Anger,True,True,True,1.0,1.0,0,0.67613816,0.9829707,0.9829707
1700756725541-2-18-4-12-1,1700756725541,2,18,4,12,Disgust,Disgust,False,True,True,14.0,14.0,2,0.09025777,0.9647777,0.9647777
1700756727000-2-18-4-13-3,1700756727000,2,18,4,13,Happiness,Happiness,False,True,True,2.0,2.0,1,0.15048566,0.9996958,0.9996958
1700756728630-2-18-4-14-0,1700756728630,2,18,4,14,Anger,Anger,True,True,True,1.0,1.0,0,0.633408,0.9745213,0.9745213
1700756730921-2-18-4-15-1,1700756730921,2,18,4,15,Disgust,Sadness,False,False,False,,,1,0.08457276,0.4146921,0.42430264
1700756736108-2-18-4-18-4,1700756736108,2,18,4,18,Neutral,Neutral,True,True,True,1.0,1.0,0,0.3529345,0.9920787,0.9920787
1700756739446-2-18-4-20-5,1700756739446,2,18,4,20,Sadness,Sadness,False,True,True,5.0,5.0,1,0.10027551,0.9912014,0.9912014
1700756740978-2-18-4-21-6,1700756740978,2,18,4,21,Surprise,Surprise,True,True,True,1.0,1.0,0,0.4116986,0.7478415,0.7478415
1700756743678-2-18-4-22-0,1700756743678,2,18,4,22,Anger,Anger,True,True,True,1.0,1.0,0,0.58736026,0.9415258,0.9415258
1700756746478-2-18-4-24-3,1700756746478,2,18,4,24,Happiness,Happiness,False,True,True,5.0,5.0,1,0.08673005,0.9996859,0.9996859
1700756752506-2-18-4-27-6,1700756752506,2,18,4,27,Surprise,Surprise,False,True,True,19.0,19.0,3,0.13128239,0.88508713,0.88508713
1701085397170-2-23-1-1-5,1701085397170,2,23,1,1,Sadness,Sadness,True,True,True,1.0,1.0,0,0.6138119,0.98163795,0.98163795
1701085399209-2-23-1-2-3,1701085399209,2,23,1,2,Happiness,Happiness,True,True,True,1.0,1.0,0,0.42936763,0.99968004,0.99968004
1701085406198-2-23-1-5-5,1701085406198,2,23,1,5,Sadness,Sadness,False,True,True,22.0,22.0,2,0.12645496,0.9877314,0.9877314
1701085409026-2-23-1-6-3,1701085409026,2,23,1,6,Happiness,Happiness,True,True,True,1.0,1.0,0,0.44148746,0.9996357,0.9996357
1701085411341-2-23-1-7-5,1701085411341,2,23,1,7,Sadness,Sadness,False,True,True,29.0,29.0,2,0.09652285,0.87351525,0.87351525
1701085482708-2-23-2-0-4,1701085482708,2,23,2,0,Neutral,Neutral,True,True,True,1.0,1.0,0,0.32439825,0.95586675,0.95586675
1701085488586-2-23-2-2-6,1701085488586,2,23,2,2,Surprise,Surprise,False,True,True,10.0,10.0,1,0.36659053,0.6857311,0.6857311
1701085490489-2-23-2-3-2,1701085490489,2,23,2,3,Fear,Happiness,False,False,False,,,1,0.17868096,0.010672251,0.9696685
1701085495679-2-23-2-5-1,1701085495679,2,23,2,5,Disgust,Anger,False,False,False,,,1,0.08378496,0.010937342,0.98647296
1701085500311-2-23-2-7-4,1701085500311,2,23,2,7,Neutral,Neutral,False,True,True,24.0,24.0,2,0.061548017,0.9067934,0.9067934
1701085503372-2-23-2-8-6,1701085503372,2,23,2,8,Surprise,Surprise,False,True,True,26.0,26.0,2,0.13817768,0.69489074,0.69489074
1701085508188-2-23-2-10-2,1701085508188,2,23,2,10,Fear,Happiness,False,False,False,,,0,0.08749111,0.16486105,0.6549921
1701085510979-2-23-2-11-4,1701085510979,2,23,2,11,Neutral,Neutral,False,True,True,20.0,20.0,2,0.16674696,0.8890241,0.8890241
1701085605407-2-23-3-1-1,1701085605407,2,23,3,1,Disgust,Disgust,False,True,True,22.0,22.0,2,0.10569809,0.7211462,0.7211462
1701085606801-2-23-3-2-0,1701085606801,2,23,3,2,Anger,Anger,False,True,True,19.0,19.0,2,0.23086452,0.97601706,0.97601706
1701085609204-2-23-3-3-6,1701085609204,2,23,3,3,Surprise,Surprise,False,True,True,18.0,18.0,4,0.0625726,0.87889045,0.87889045
1701085611540-2-23-3-4-3,1701085611540,2,23,3,4,Happiness,Happiness,True,True,True,1.0,1.0,0,0.8183566,0.9988433,0.9988433
1701085612711-2-23-3-5-2,1701085612711,2,23,3,5,Fear,Surprise,False,False,False,,,1,0.059911173,0.42012843,0.5399806
1701085617891-2-23-3-7-5,1701085617891,2,23,3,7,Sadness,Sadness,True,True,True,1.0,1.0,0,0.55499303,0.90965396,0.90965396
1701085619479-2-23-3-8-0,1701085619479,2,23,3,8,Anger,Anger,False,True,True,16.0,16.0,1,0.114532955,0.6173828,0.6173828
1701085621175-2-23-3-9-1,1701085621175,2,23,3,9,Disgust,Disgust,False,True,True,23.0,23.0,1,0.053851686,0.98711747,0.98711747
1701085622872-2-23-3-10-0,1701085622872,2,23,3,10,Anger,Anger,False,True,True,19.0,19.0,1,0.08402329,0.98402643,0.98402643
1701085625896-2-23-3-11-3,1701085625896,2,23,3,11,Happiness,Happiness,True,True,True,1.0,1.0,0,0.8863986,0.99955577,0.99955577
1701085629667-2-23-3-13-6,1701085629667,2,23,3,13,Surprise,Surprise,False,True,True,9.0,9.0,4,0.13466896,0.87643075,0.87643075
1701085630752-2-23-3-14-4,1701085630752,2,23,3,14,Neutral,Neutral,True,True,True,1.0,19.0,2,0.20736572,0.95973575,0.95973575
1701085633973-2-23-3-15-5,1701085633973,2,23,3,15,Sadness,Sadness,True,True,True,1.0,1.0,0,0.56615204,0.905588,0.905588
1701085635772-2-23-3-16-2,1701085635772,2,23,3,16,Fear,Happiness,False,False,False,,,0,0.113869324,0.0359016,0.8899158
1701085639668-2-23-3-18-1,1701085639668,2,23,3,18,Disgust,Disgust,False,True,True,3.0,3.0,2,0.14722702,0.9881991,0.9881991
1701085643199-2-23-3-20-2,1701085643199,2,23,3,20,Fear,Neutral,False,False,False,,,1,0.11743582,0.3379584,0.44916368
1701085783312-2-23-4-0-1,1701085783312,2,23,4,0,Disgust,Disgust,False,True,True,4.0,4.0,2,0.1294754,0.99181795,0.99181795
1701085784771-2-23-4-1-5,1701085784771,2,23,4,1,Sadness,Sadness,False,True,True,12.0,12.0,3,0.08810688,0.99389535,0.99389535
1701085786811-2-23-4-2-4,1701085786811,2,23,4,2,Neutral,Neutral,False,True,True,14.0,14.0,1,0.052308552,0.96159506,0.96159506
1701085788374-2-23-4-3-6,1701085788374,2,23,4,3,Surprise,Surprise,False,True,True,26.0,26.0,4,0.12898068,0.5866707,0.5866707
1701085789639-2-23-4-4-4,1701085789639,2,23,4,4,Neutral,Neutral,True,True,True,1.0,1.0,0,0.2832912,0.9809926,0.9809926
1701085791397-2-23-4-5-4,1701085791397,2,23,4,5,Neutral,Neutral,True,True,True,1.0,1.0,0,0.33031347,0.9795857,0.9795857
1701085793939-2-23-4-6-3,1701085793939,2,23,4,6,Happiness,Happiness,True,True,True,1.0,1.0,0,0.24383245,0.9990808,0.9990808
1701085795548-2-23-4-7-0,1701085795548,2,23,4,7,Anger,Anger,True,True,True,1.0,1.0,0,0.2724143,0.46412057,0.46412057
1701085796688-2-23-4-8-5,1701085796688,2,23,4,8,Sadness,Sadness,False,True,True,8.0,8.0,2,0.10719016,0.9888975,0.9888975
1701085798672-2-23-4-9-2,1701085798672,2,23,4,9,Fear,Surprise,False,False,True,25.0,,3,0.021032615,0.23930472,0.62521017
1701085800908-2-23-4-10-0,1701085800908,2,23,4,10,Anger,Anger,False,True,True,14.0,14.0,1,0.08521091,0.92866,0.92866
1701085802372-2-23-4-11-3,1701085802372,2,23,4,11,Happiness,Happiness,False,True,True,7.0,7.0,1,0.1522914,0.99969256,0.99969256
1701085804610-2-23-4-12-1,1701085804610,2,23,4,12,Disgust,Disgust,False,True,True,6.0,6.0,1,0.16717787,0.9942983,0.9942983
1701085805933-2-23-4-13-3,1701085805933,2,23,4,13,Happiness,Happiness,True,True,True,1.0,1.0,0,0.5364157,0.9996873,0.9996873
1701085807269-2-23-4-14-0,1701085807269,2,23,4,14,Anger,Anger,False,True,True,13.0,13.0,3,0.10566547,0.9578769,0.9578769
1701085809428-2-23-4-15-1,1701085809428,2,23,4,15,Disgust,Disgust,False,True,True,23.0,23.0,1,0.10571863,0.97713727,0.97713727
1701085810970-2-23-4-16-2,1701085810970,2,23,4,16,Fear,Surprise,False,False,False,,,1,0.121823065,0.36014023,0.63790834
1701085812843-2-23-4-17-5,1701085812843,2,23,4,17,Sadness,Sadness,False,True,True,25.0,25.0,3,0.045070466,0.97522527,0.97522527
1701085820057-2-23-4-21-6,1701085820057,2,23,4,21,Surprise,Surprise,False,True,True,19.0,19.0,2,0.12188995,0.86889035,0.86889035
1701085821482-2-23-4-22-0,1701085821482,2,23,4,22,Anger,Anger,False,True,True,19.0,19.0,2,0.12059775,0.9697147,0.9697147
1701085823245-2-23-4-23-2,1701085823245,2,23,4,23,Fear,Surprise,False,False,True,21.0,,4,0.10192839,0.38436714,0.61444396
1701085827129-2-23-4-25-2,1701085827129,2,23,4,25,Fear,Surprise,False,False,True,16.0,,2,0.15371618,0.26091927,0.73799133
1701085829241-2-23-4-26-1,1701085829241,2,23,4,26,Disgust,Fear,False,False,False,,,1,0.10089982,0.22735213,0.4856856
1701085830697-2-23-4-27-6,1701085830697,2,23,4,27,Surprise,Surprise,False,True,True,13.0,13.0,1,0.036208127,0.93046963,0.93046963
1701094438118-2-27-1-0-0,1701094438118,2,27,1,0,Anger,Disgust,False,False,False,,,2,0.1004663,0.04201074,0.95760006
1701094443379-2-27-1-2-3,1701094443379,2,27,1,2,Happiness,Happiness,False,True,True,6.0,6.0,1,0.10837902,0.99978334,0.99978334
1701094445452-2-27-1-3-0,1701094445452,2,27,1,3,Anger,Disgust,False,False,False,,,1,0.09891726,0.04540559,0.9542787
1701094448444-2-27-1-4-0,1701094448444,2,27,1,4,Anger,Disgust,False,False,False,,,2,0.09108228,0.025954187,0.97376955
1701094450282-2-27-1-5-5,1701094450282,2,27,1,5,Sadness,Sadness,False,True,True,24.0,24.0,2,0.045077987,0.94713575,0.94713575
1701094455829-2-27-1-7-5,1701094455829,2,27,1,7,Sadness,Sadness,True,True,True,1.0,1.0,0,0.5990013,0.8853276,0.8853276
1701094458007-2-27-1-8-3,1701094458007,2,27,1,8,Happiness,Happiness,True,True,True,1.0,1.0,0,0.90294534,0.9997688,0.9997688
1701094536373-2-27-2-2-6,1701094536373,2,27,2,2,Surprise,Surprise,True,True,True,1.0,1.0,0,0.54555005,0.8438147,0.8438147
1701094539306-2-27-2-3-2,1701094539306,2,27,2,3,Fear,Fear,False,True,True,21.0,21.0,2,0.028774187,0.4958207,0.4958207
1701094549501-2-27-2-7-4,1701094549501,2,27,2,7,Neutral,Neutral,False,True,True,5.0,5.0,1,0.09624461,0.9665689,0.9665689
1701094559720-2-27-2-11-4,1701094559720,2,27,2,11,Neutral,Disgust,False,False,True,3.0,,2,0.19196066,0.23139961,0.464712
1701094652485-2-27-3-0-4,1701094652485,2,27,3,0,Neutral,Neutral,True,True,True,1.0,1.0,0,0.26750293,0.7800509,0.7800509
1701094656847-2-27-3-2-0,1701094656847,2,27,3,2,Anger,Disgust,False,False,False,,,0,0.16632053,0.010117397,0.9893882
1701094657984-2-27-3-3-6,1701094657984,2,27,3,3,Surprise,Surprise,False,True,True,17.0,17.0,3,0.09798848,0.9521231,0.9521231
1701094661584-2-27-3-5-2,1701094661584,2,27,3,5,Fear,Fear,False,True,True,6.0,6.0,1,0.25388953,0.6373459,0.6373459
1701094664518-2-27-3-6-5,1701094664518,2,27,3,6,Sadness,Sadness,False,True,True,6.0,9.0,4,0.078809656,0.8119592,0.8119592
1701094668813-2-27-3-8-0,1701094668813,2,27,3,8,Anger,Disgust,False,False,False,,,0,0.1471196,0.024392242,0.9752315
1701094669809-2-27-3-9-1,1701094669809,2,27,3,9,Disgust,Happiness,True,False,True,1.0,,3,0.49746472,0.2489588,0.7424563
1701094672347-2-27-3-10-0,1701094672347,2,27,3,10,Anger,Disgust,False,False,False,,,1,0.089158565,0.030706348,0.9688533
1701094679684-2-27-3-14-4,1701094679684,2,27,3,14,Neutral,Neutral,True,True,True,1.0,1.0,0,0.20235169,0.9759276,0.9759276
1701094684847-2-27-3-16-2,1701094684847,2,27,3,16,Fear,Disgust,False,False,True,20.0,,2,0.22909921,0.103997774,0.5417816
1701094686349-2-27-3-17-3,1701094686349,2,27,3,17,Happiness,Happiness,False,True,True,15.0,15.0,1,0.16447058,0.99976784,0.99976784
1701094688507-2-27-3-18-1,1701094688507,2,27,3,18,Disgust,Disgust,True,True,True,1.0,1.0,0,0.79887146,0.86618924,0.86618924
1701094689680-2-27-3-19-6,1701094689680,2,27,3,19,Surprise,Surprise,False,True,True,3.0,8.0,3,0.14632429,0.9667572,0.9667572
1701094692584-2-27-3-20-2,1701094692584,2,27,3,20,Fear,Surprise,True,False,True,1.0,,1,0.40309107,0.2866277,0.644669
1701094821546-2-27-4-1-5,1701094821546,2,27,4,1,Sadness,Sadness,False,True,True,8.0,8.0,2,0.10894363,0.9928133,0.9928133
1701094823610-2-27-4-2-4,1701094823610,2,27,4,2,Neutral,Neutral,False,True,True,3.0,17.0,4,0.1496672,0.74954164,0.74954164
1701094824960-2-27-4-3-6,1701094824960,2,27,4,3,Surprise,Surprise,False,True,True,2.0,2.0,1,0.27439338,0.9531597,0.9531597
1701094829010-2-27-4-5-4,1701094829010,2,27,4,5,Neutral,Happiness,True,False,True,1.0,,1,0.2195072,0.075578496,0.8173802
1701094830423-2-27-4-6-3,1701094830423,2,27,4,6,Happiness,Happiness,True,True,True,1.0,1.0,0,0.80325437,0.9990169,0.9990169
1701094835647-2-27-4-9-2,1701094835647,2,27,4,9,Fear,Surprise,False,False,False,,,3,0.026160102,0.21286404,0.7806218
1701094839307-2-27-4-11-3,1701094839307,2,27,4,11,Happiness,Happiness,False,True,True,15.0,15.0,2,0.12240747,0.99945337,0.99945337
1701094842669-2-27-4-13-3,1701094842669,2,27,4,13,Happiness,Happiness,True,True,True,1.0,1.0,0,0.8715946,0.999521,0.999521
1701094848288-2-27-4-16-2,1701094848288,2,27,4,16,Fear,Fear,False,True,True,9.0,9.0,1,0.26632944,0.8507741,0.8507741
1701094851143-2-27-4-18-4,1701094851143,2,27,4,18,Neutral,Neutral,False,True,True,10.0,10.0,1,0.16010568,0.62478274,0.62478274
1701094852692-2-27-4-19-6,1701094852692,2,27,4,19,Surprise,Surprise,True,True,True,1.0,1.0,0,0.46942312,0.9301478,0.9301478
1701094855279-2-27-4-20-5,1701094855279,2,27,4,20,Sadness,Sadness,True,True,True,1.0,1.0,0,0.50711584,0.9761101,0.9761101
1701094856933-2-27-4-21-6,1701094856933,2,27,4,21,Surprise,Surprise,True,True,True,1.0,1.0,0,0.528042,0.95972043,0.95972043
1701094862346-2-27-4-24-3,1701094862346,2,27,4,24,Happiness,Happiness,False,True,True,11.0,11.0,1,0.014671644,0.99270105,0.99270105
1701094865205-2-27-4-26-1,1701094865205,2,27,4,26,Disgust,Disgust,False,True,True,14.0,14.0,1,0.11889847,0.99348676,0.99348676
1701094866874-2-27-4-27-6,1701094866874,2,27,4,27,Surprise,Surprise,False,True,True,3.0,3.0,1,0.20114988,0.95339704,0.95339704
